"Label (Grouping)","United States!!Total population!!Estimate","United States!!Total population!!Margin of Error"
"        Arts, entertainment, and recreation, and accommodation and food services","8.9%","±0.1"
"        Other services (except public administration)","4.8%","±0.1"
"        Public administration","4.7%","±0.1"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","167,292,666","±159,791"
"        Private wage and salary workers","79.3%","±0.1"
"        Government workers","14.6%","±0.1"
"        Self-employed workers in own not incorporated business","5.9%","±0.1"
"        Unpaid family workers","0.2%","±0.1"
"INCOME IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS)","",""
"    Households","132,737,146","±140,273"
"        Median household income (dollars)","81,604","±128"
"        With earnings","77.6%","±0.1"
"            Mean earnings (dollars)","116,533","±225"
"        With Social Security income","31.6%","±0.1"
"            Mean Social Security income (dollars)","25,033","±40"
"        With Supplemental Security Income","5.0%","±0.1"
"            Mean Supplemental Security Income (dollars)","11,080","±48"
"        With cash public assistance income","2.5%","±0.1"
"            Mean cash public assistance income (dollars)","3,634","±54"
"        With retirement income","24.4%","±0.1"
"            Mean retirement income (dollars)","32,291","±131"
"        With Food Stamp/SNAP benefits","11.8%","±0.1"
"    Families","84,966,539","±137,371"
"        Median family income (dollars)","101,265","±183"
"            Married-couple family","72.9%","±0.1"
"        Median income (dollars)","120,217","±200"
"            Male householder, no spouse present, family","8.1%","±0.1"
"        Median income (dollars)","71,647","±350"
"            Female householder, no husband present, family","18.9%","±0.1"
"        Median income (dollars)","53,867","±304"
"    Individuals","340,110,990","*****"
"        Per capita income (dollars)","45,256","±100"
"        With earnings for full-time, year-round workers:","",""
"            Male","68,971,906","±95,711"
"            Female","53,707,287","±107,894"
"        Mean earnings (dollars)  for full-time, year-round workers:","",""
"            Male","94,006","±244"
"            Female","72,527","±185"
"        Median earnings (dollars) full-time, year-round workers:","",""
"            Male","66,965","±127"
"            Female","55,678","±134"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","335,190,522","±20,943"
"        With private health insurance","67.2%","±0.1"
"        With public coverage","36.8%","±0.1"
"        No health insurance coverage","8.2%","±0.1"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","",""
"    All families","8.5%","±0.1"
"        With related children of the householder under 18 years","12.9%","±0.1"
"            With related children of the householder under 5 years only","11.9%","±0.3"
"        Married-couple family","4.5%","±0.1"
"            With related children of the householder under 18 years","5.5%","±0.1"
"                With related children of the householder under 5 years only","4.2%","±0.2"
"        Female householder, no spouse present, family","22.3%","±0.2"
"            With related children of the householder under 18 years","31.3%","±0.3"
"                With related children of the householder under 5 years only","36.2%","±0.9"
"    All people","12.1%","±0.1"
"        Under 18 years","15.5%","±0.2"
"            Related children of the householder under 18 years","15.2%","±0.2"
"                Related children of the householder under 5 years","16.5%","±0.3"
"                Related children of the householder 5 to 17 years","14.7%","±0.2"
"        18 years and over","11.2%","±0.1"
"            18 to 64 years","11.2%","±0.1"
"            65 years and over","11.2%","±0.1"
"        People in families","9.2%","±0.1"
"        Unrelated individuals 15 years and over","23.8%","±0.1"
"HOUSING TENURE","",""
"    Occupied housing units","132,737,146","±140,273"
"        Owner-occupied housing units","65.3%","±0.1"
"        Renter-occupied housing units","34.7%","±0.1"
"        Average household size of owner-occupied unit","2.63","±0.01"
"        Average household size of renter-occupied unit","2.26","±0.01"
"UNITS IN STRUCTURE","",""
"    Occupied housing units","132,737,146","±140,273"
"        1-unit, detached or attached","68.7%","±0.1"
"        2 to 4 units","7.3%","±0.1"
"        5 or more units","18.9%","±0.1"
"        Mobile home, boat, RV, van, etc.","5.2%","±0.1"
"YEAR STRUCTURE BUILT","",""
"    Occupied housing units","132,737,146","±140,273"
"        Built 2020 or later","4.1%","±0.1"
"        Built 2010 to 2019","9.9%","±0.1"
"        Built 2000 to 2009","13.8%","±0.1"
"        Built 1980 to 1999","24.5%","±0.1"
"        Built 1960 to 1979","23.2%","±0.1"
"        Built 1940 to 1959","13.3%","±0.1"
"        Built 1939 or earlier","11.1%","±0.1"
"VEHICLES AVAILABLE","",""
"    Occupied housing units","132,737,146","±140,273"
"        None","8.5%","±0.1"
"        1 or more","91.5%","±0.1"
"HOUSE HEATING FUEL","",""
"    Occupied housing units","132,737,146","±140,273"
"        Gas","51.3%","±0.1"
"        Electricity","41.8%","±0.1"
"        All other fuels","5.7%","±0.1"
"        No fuel used","1.2%","±0.1"
"SELECTED CHARACTERISTICS","",""
"    Occupied housing units","132,737,146","±140,273"
"        No telephone service available","0.8%","±0.1"
"        1.01 or more occupants per room","3.5%","±0.1"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","51,425,144","±183,292"
"        Less than 30 percent","70.6%","±0.1"
"        30 percent or more","29.4%","±0.1"
"OWNER CHARACTERISTICS","",""
"    Owner-occupied housing units","86,635,506","±272,877"
"        Median value (dollars)","360,600","±618"
"        Median selected monthly owner costs with a mortgage (dollars)","2,035","±4"
"        Median selected monthly owner costs without a mortgage (dollars)","664","±2"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","42,954,477","±152,502"
"        Less than 30 percent","48.2%","±0.2"
"        30 percent or more","51.8%","±0.2"
"GROSS RENT","",""
"    Occupied units paying rent","43,914,059","±155,945"
"        Median gross rent (dollars)","1,487","±3"
"COMPUTERS AND INTERNET USE","",""
"    Total households","132,737,146","±140,273"
"        With a computer","96.6%","±0.1"
"        With a broadband Internet subscription","93.2%","±0.1"
