,,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung
,"Multiracial, Non-Hispanic",All Ages,,11,11,0,0,0,0,0
,,18-34 Years,,1,1,0,0,0,0,0
,,
,,35-49 Years,,5,5,0,0,0,0,0
,,50-64 Years,,4,4,0,0,0,0,0
,,65 +,,1,1,0,0,0,0,0
1 Year to < 2 Years,All Races/Ethnicities,All Ages,,725,664,36,3,11,23,0
,,1-5 Years,,3,2,2,0,0,0,0
,,6-10 Years,,1,1,0,0,0,0,0
,,18-34 Years,,62,58,1,2,3,2,0
,,35-49 Years,,185,164,11,0,7,8,0
,,50-64 Years,,307,281,17,1,1,9,0
,,65 +,,167,158,5,0,0,4,0
,"White, Non-Hispanic",All Ages,,319,275,27,3,6,15,0
,,1-5 Years,,2,2,1,0,0,0,0
,,18-34 Years,,27,24,1,2,0,1,0
,,35-49 Years,,72,55,9,0,6,5,0
,,50-64 Years,,125,108,12,1,0,6,0
,,65 +,,93,86,4,0,0,3,0
,"Black, Non-Hispanic",All Ages,,349,335,6,0,4,8,0
,,1-5 Years,,1,0,1,0,0,0,0
,,6-10 Years,,1,1,0,0,0,0,0
,,18-34 Years,,24,23,0,0,3,1,0
,,35-49 Years,,100,96,2,0,0,3,0
,,50-64 Years,,162,156,2,0,1,3,0
,,65 +,,61,59,1,0,0,1,0
,Hispanic/Latino,All Ages,,33,30,3,0,0,0,0
,,18-34 Years,,8,8,0,0,0,0,0
,,
,,35-49 Years,,5,5,0,0,0,0,0
,,50-64 Years,,12,9,3,0,0,0,0
,,65 +,,8,8,0,0,0,0,0
,Unknown,All Ages,,1,1,0,0,0,0,0
,,65 +,,1,1,0,0,0,0,0
,"Asian, Non-Hispanic",All Ages,,11,10,0,0,1,0,0
,,18-34 Years,,1,1,0,0,0,0,0
,,35-49 Years,,4,3,0,0,1,0,0
,,50-64 Years,,4,4,0,0,0,0,0
,,65 +,,2,2,0,0,0,0,0
,"American Indian/Alaska Native, Non-Hispanic",All Ages,,1,1,0,0,0,0,0
,,65 +,,1,1,0,0,0,0,0
,"Multiracial, Non-Hispanic",All Ages,,12,12,0,0,0,0,0
,,18-34 Years,,2,2,0,0,0,0,0
,,35-49 Years,,5,5,0,0,0,0,0
,,50-64 Years,,4,4,0,0,0,0,0
,,65 +,,1,1,0,0,0,0,0
2 Years to < 3 Years,All Races/Ethnicities,All Ages,,412,391,6,3,8,6,0
,,1-5 Years,,1,0,0,0,0,1,0
,,11-17 Years,,1,1,0,0,0,0,0
,,18-34 Years,,29,25,1,1,2,0,0
,,35-49 Years,,98,93,0,2,3,0,0
,,50-64 Years,,176,168,4,0,3,3,0
,,65 +,,107,104,1,0,0,2,0
,"White, Non-Hispanic",All Ages,,194,179,5,2,5,5,0
,,
,,1-5 Years,,1,0,0,0,0,1,0
,,11-17 Years,,1,1,0,0,0,0,0
,,18-34 Years,,15,14,0,0,1,0,0
,,35-49 Years,,30,26,0,2,2,0,0
,,50-64 Years,,82,76,4,0,2,2,0
,,65 +,,65,62,1,0,0,2,0
,"Black, Non-Hispanic",All Ages,,188,183,0,1,3,1,0
,,18-34 Years,,11,9,0,1,1,0,0
,,35-49 Years,,62,61,0,0,1,0,0
,,50-64 Years,,77,75,0,0,1,1,0
,,65 +,,38,38,0,0,0,0,0
,Hispanic/Latino,All Ages,,14,13,1,0,0,0,0
,,18-34 Years,,2,1,1,0,0,0,0
,,35-49 Years,,1,1,0,0,0,0,0
,,50-64 Years,,9,9,0,0,0,0,0
,,65 +,,2,2,0,0,0,0,0
,"Asian, Non-Hispanic",All Ages,,9,9,0,0,0,0,0
,,18-34 Years,,1,1,0,0,0,0,0
,,35-49 Years,,2,2,0,0,0,0,0
,,50-64 Years,,5,5,0,0,0,0,0
,,65 +,,1,1,0,0,0,0,0
,"American Indian/Alaska Native, Non-Hispanic",All Ages,,1,1,0,0,0,0,0
,,50-64 Years,,1,1,0,0,0,0,0
,"Pacific Islander, Non-Hispanic",All Ages,,1,1,0,0,0,0,0
,,65 +,,1,1,0,0,0,0,0
,,
,"Multiracial, Non-Hispanic",All Ages,,5,5,0,0,0,0,0
,,35-49 Years,,3,3,0,0,0,0,0
,,50-64 Years,,2,2,0,0,0,0,0
3 Years to < 5 Years,All Races/Ethnicities,All Ages,,376,366,9,1,2,3,0
,,1-5 Years,,1,1,0,0,0,0,0
,,18-34 Years,,21,21,0,1,1,0,0
,,35-49 Years,,76,73,3,0,1,1,0
,,50-64 Years,,175,170,4,0,0,1,0
,,65 +,,103,101,2,0,0,1,0
,"White, Non-Hispanic",All Ages,,170,162,7,0,1,2,0
,,1-5 Years,,1,1,0,0,0,0,0
,,18-34 Years,,8,8,0,0,0,0,0
,,35-49 Years,,27,25,3,0,1,0,0
,,50-64 Years,,67,63,3,0,0,1,0
,,65 +,,67,65,1,0,0,1,0
,"Black, Non-Hispanic",All Ages,,173,171,1,1,1,1,0
,,18-34 Years,,10,10,0,1,1,0,0
,,35-49 Years,,43,42,0,0,0,1,0
,,50-64 Years,,91,90,1,0,0,0,0
,,65 +,,29,29,0,0,0,0,0
,Hispanic/Latino,All Ages,,15,15,0,0,0,0,0
,,18-34 Years,,3,3,0,0,0,0,0
,,35-49 Years,,3,3,0,0,0,0,0
,,50-64 Years,,6,6,0,0,0,0,0
,,65 +,,3,3,0,0,0,0,0
,,
,"Asian, Non-Hispanic",All Ages,,8,8,1,0,0,0,0
,,35-49 Years,,2,2,0,0,0,0,0
,,50-64 Years,,3,3,0,0,0,0,0
,,65 +,,3,3,1,0,0,0,0
,"American Indian/Alaska Native, Non-Hispanic",All Ages,,1,1,0,0,0,0,0
,,50-64 Years,,1,1,0,0,0,0,0
,"Multiracial, Non-Hispanic",All Ages,,10,10,0,0,0,0,0
,,35-49 Years,,1,1,0,0,0,0,0
,,50-64 Years,,8,8,0,0,0,0,0
,,65 +,,1,1,0,0,0,0,0
5 or More Years,All Races/Ethnicities,All Ages,,164,151,10,1,2,2,0
,,11-17 Years,,2,1,1,0,0,0,0
,,18-34 Years,,9,7,2,0,0,0,0
,,35-49 Years,,35,33,1,1,1,0,0
,,50-64 Years,,67,62,3,0,1,2,0
,,65 +,,51,48,3,0,0,0,0
,"White, Non-Hispanic",All Ages,,79,72,6,1,0,0,0
,,18-34 Years,,5,3,2,0,0,0,0
,,35-49 Years,,12,11,0,1,0,0,0
,,50-64 Years,,32,30,2,0,0,0,0
,,65 +,,30,28,2,0,0,0,0
,"Black, Non-Hispanic",All Ages,,76,70,4,0,2,2,0
,,11-17 Years,,2,1,1,0,0,0,0
,,18-34 Years,,4,4,0,0,0,0,0
,,35-49 Years,,20,19,1,0,1,0,0
,,
,,50-64 Years,,31,28,1,0,1,2,0
,,65 +,,19,18,1,0,0,0,0
,Hispanic/Latino,All Ages,,3,3,0,0,0,0,0
,,35-49 Years,,1,1,0,0,0,0,0
,,50-64 Years,,2,2,0,0,0,0,0
,"Asian, Non-Hispanic",All Ages,,3,3,0,0,0,0,0
,,50-64 Years,,1,1,0,0,0,0,0
,,65 +,,2,2,0,0,0,0,0
,"American Indian/Alaska Native, Non-Hispanic",All Ages,,1,1,0,0,0,0,0
,,50-64 Years,,1,1,0,0,0,0,0
,"Multiracial, Non-Hispanic",All Ages,,2,2,0,0,0,0,0
,,35-49 Years,,2,2,0,0,0,0,0
